Time : 2023-03-22 09:49:05.918722
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    redTime : 2023-03-22 09:49:08.292917
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    redTime : 2023-03-22 09:49:10.652532
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    redTime : 2023-03-22 09:49:13.051314
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    redTime : 2023-03-22 09:49:15.416710
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    redTime : 2023-03-22 09:49:17.834742
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
8  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    redTime : 2023-03-22 09:49:20.207663
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6  1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
8  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
9  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    redTime : 2023-03-22 09:49:22.650808
 Details :       open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
8   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
9   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
10  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    redTime : 2023-03-22 09:49:25.042672
 Details :       open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
8   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
9   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
10  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
11  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    redTime : 2023-03-22 09:49:27.427928
 Details :       open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
1   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
2   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
3   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
4   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
5   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
6   1087.7  1087.95  1087.55  1087.85  1089   1090   1092   1092    1087    red
7   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
8   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
9   1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
10  1087.5  1087.50  1087.50  1087.50  1088   1089   1091   1091    1087    red
