id,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
0,30-03-2023 21:13,6089,6094,6088,6094,12,,,,,0,no,no,no,no,no,no,no,no,no,NA,NA,NA
1,30-03-2023 21:14,6095,6096,6093,6096,11,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
2,30-03-2023 21:15,6095,6096,6091,6091,12,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
3,30-03-2023 21:16,6090,6093,6088,6093,14,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
4,30-03-2023 21:17,6092,6092,6089,6090,9,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
5,30-03-2023 21:18,6090,6090,6088,6088,10,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
6,30-03-2023 21:19,6084,6089,6080,6089,23,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
7,30-03-2023 21:20,6086,6100,6086,6099,22,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
8,30-03-2023 21:21,6099,6101,6096,6100,11,6093.333333,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
9,30-03-2023 21:22,6098,6100,6097,6099,16,6094.466667,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
10,30-03-2023 21:23,6100,6102,6097,6098,12,6095.173333,,,,6083,no,no,no,no,no,green,no,no,no,green,NA,NA
11,30-03-2023 21:24,6099,6099,6098,6098,7,6095.738667,,,,6083.35,no,no,no,no,no,green,no,no,no,green,NA,NA
12,30-03-2023 21:25,6100,6106,6098,6104,24,6097.390933,,,,6085.965,no,no,no,no,no,green,no,no,no,green,NA,NA
13,30-03-2023 21:26,6104,6106,6102,6102,24,6098.312747,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
14,30-03-2023 21:27,6101,6102,6097,6097,12,6098.050197,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
15,30-03-2023 21:28,6099,6100,6094,6095,12,6097.440158,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
16,30-03-2023 21:29,6094,6097,6093,6097,8,6097.352126,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
17,30-03-2023 21:30,6099,6104,6099,6104,8,6098.681701,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
18,30-03-2023 21:31,6105,6105,6102,6102,18,6099.345361,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
19,30-03-2023 21:32,6102,6102,6100,6100,2,6099.476289,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
20,30-03-2023 21:33,6100,6114,6100,6112,39,6101.981031,6097.52381,,,6089.876239,green,no,no,no,no,green,green,no,no,green,NA,NA
21,30-03-2023 21:34,6111,6112,6107,6110,24,6103.584825,6098.658009,,,6092.588615,green,no,no,no,no,green,green,no,no,green,NA,NA
22,30-03-2023 21:35,6111,6111,6108,6111,18,6105.06786,6099.780008,,,6093.379753,green,no,no,no,no,green,green,no,no,green,NA,NA
23,30-03-2023 21:36,6110,6110,6106,6106,10,6105.254288,6100.345462,,,6093.379753,green,no,no,no,no,green,green,no,no,green,NA,NA
24,30-03-2023 21:37,6106,6113,6106,6112,8,6106.60343,6101.404965,,,6093.379753,green,no,no,no,no,green,green,no,no,green,NA,NA
25,30-03-2023 21:38,6111,6112,6109,6111,16,6107.482744,6102.277241,,,6094.74334,green,no,no,no,no,green,green,no,no,green,NA,NA
26,30-03-2023 21:39,6111,6113,6111,6111,22,6108.186195,6103.070219,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
27,30-03-2023 21:40,6111,6111,6102,6106,26,6107.748956,6103.336563,,,6097.219006,green,no,no,no,no,red,green,no,no,green,NA,NA
28,30-03-2023 21:41,6109,6112,6107,6109,14,6107.999165,6103.851421,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
29,30-03-2023 21:42,6108,6111,6107,6109,7,6108.199332,6104.319473,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
30,30-03-2023 21:43,6110,6115,6110,6110,13,6108.559466,6104.835885,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
31,30-03-2023 21:44,6108,6115,6108,6114,16,6109.647572,6105.668986,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
32,30-03-2023 21:45,6110,6113,6106,6111,19,6109.918058,6106.153624,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
33,30-03-2023 21:46,6112,6112,6108,6111,8,6110.134446,6106.594204,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
34,30-03-2023 21:47,6111,6114,6111,6112,11,6110.507557,6107.08564,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
35,30-03-2023 21:48,6113,6115,6109,6109,16,6110.206046,6107.259672,,,6097.219006,green,no,no,no,no,red,green,no,no,green,NA,NA
36,30-03-2023 21:49,6108,6111,6108,6111,15,6110.364837,6107.599702,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
37,30-03-2023 21:50,6109,6112,6107,6112,19,6110.691869,6107.999729,,,6097.219006,green,no,no,no,no,green,green,no,no,green,NA,NA
38,30-03-2023 21:51,6113,6114,6112,6113,15,6111.153495,6108.454299,,,6098.540595,green,no,no,no,no,green,green,no,no,green,NA,NA
39,30-03-2023 21:52,6114,6114,6110,6110,12,6110.922796,6108.594818,,,6098.540595,green,no,no,no,no,red,green,no,no,green,NA,NA
40,30-03-2023 21:53,6111,6112,6110,6110,13,6110.738237,6108.722561,,,6098.540595,green,no,no,no,no,red,green,no,no,green,NA,NA
41,30-03-2023 21:54,6109,6110,6104,6106,30,6109.79059,6108.475056,,,6098.540595,green,no,no,no,no,red,red,no,no,green,NA,NA
42,30-03-2023 21:55,6107,6107,6102,6103,17,6108.432472,6107.977323,,,6098.540595,green,no,no,no,no,red,red,no,no,green,NA,NA
43,30-03-2023 21:56,6104,6105,6101,6104,14,6107.545977,6107.615749,,,6098.540595,red,no,no,no,no,red,red,no,no,green,NA,NA
44,30-03-2023 21:57,6102,6103,6100,6101,13,6106.236782,6107.014317,,,6098.540595,red,no,no,no,no,red,red,no,no,green,NA,NA
45,30-03-2023 21:58,6102,6106,6101,6106,19,6106.189426,6106.922106,,,6098.540595,red,no,no,no,no,red,red,no,no,green,NA,NA
46,30-03-2023 21:59,6105,6105,6102,6104,10,6105.75154,6106.65646,,,6098.540595,red,no,no,no,no,red,red,no,no,green,NA,NA
47,30-03-2023 22:00,6104,6106,6102,6106,7,6105.801232,6106.596782,,,6098.540595,red,no,no,no,no,green,red,no,no,green,NA,NA
48,30-03-2023 22:01,6105,6108,6105,6107,7,6106.040986,6106.633438,,,6098.540595,red,no,no,no,no,green,green,no,no,green,NA,NA
49,30-03-2023 22:02,6108,6108,6097,6097,11,6104.232789,6105.757671,,,6117.467934,red,no,no,no,no,red,red,no,no,red,WHEN SUPERTREND SIGNAL CHANGED TO RED,sell
50,30-03-2023 22:03,6098,6100,6097,6099,12,6103.186231,6105.143337,,,6112.871141,red,no,no,no,no,red,red,no,no,red,NA,NA
51,30-03-2023 22:04,6099,6099,6097,6097,14,6101.948985,6104.403034,,,6111.534027,red,no,no,no,no,red,red,no,no,red,NA,NA
52,30-03-2023 22:05,6097,6099,6097,6099,10,6101.359188,6103.911849,,,6110.780624,red,no,no,no,no,red,red,no,no,red,NA,NA
53,30-03-2023 22:06,6100,6100,6098,6099,9,6100.88735,6103.465317,,,6110.780624,red,no,no,no,no,red,red,no,no,red,NA,NA
54,30-03-2023 22:07,6098,6098,6097,6098,9,6100.30988,6102.96847,6103.309091,,6108.992306,red,no,red,no,no,red,red,red,no,red,NA,NA
55,30-03-2023 22:08,6099,6099,6094,6095,17,6099.247904,6102.244064,6103.012338,,6108.343075,red,no,red,no,no,red,red,red,no,red,NA,NA
56,30-03-2023 22:09,6095,6097,6094,6095,23,6098.398323,6101.585513,6102.726183,,6107.058767,red,no,red,no,no,red,red,red,no,red,NA,NA
57,30-03-2023 22:10,6095,6096,6091,6092,20,6097.118659,6100.714102,6102.343105,,6105.402891,red,no,red,no,no,red,red,red,no,red,NA,NA
58,30-03-2023 22:11,6091,6093,6090,6090,16,6095.694927,6099.740093,6101.90228,,6103.112602,red,no,red,no,no,red,red,red,no,red,NA,NA
59,30-03-2023 22:12,6090,6092,6090,6092,8,6094.955942,6099.036448,6101.548627,,6102.051341,red,no,red,no,no,red,red,red,no,red,NA,NA
60,30-03-2023 22:13,6095,6098,6094,6094,15,6094.764753,6098.578589,6101.279033,,6102.051341,red,no,red,no,no,red,red,red,no,red,NA,NA
61,30-03-2023 22:14,6094,6095,6094,6095,6,6094.811803,6098.253263,6101.054782,,6102.051341,red,no,red,no,no,green,red,red,no,red,NA,NA
62,30-03-2023 22:15,6099,6101,6099,6099,15,6095.649442,6098.321148,6100.981397,,6102.051341,red,no,red,no,no,green,green,red,no,red,NA,NA
63,30-03-2023 22:16,6100,6100,6098,6098,5,6096.119554,6098.291953,6100.874918,,6102.051341,red,no,red,no,no,green,red,red,no,red,NA,NA
64,30-03-2023 22:17,6098,6101,6098,6098,10,6096.495643,6098.265412,6100.772243,,6102.051341,red,no,red,no,no,green,red,red,no,red,NA,NA
65,30-03-2023 22:18,6099,6099,6099,6099,5,6096.996514,6098.332192,6100.708948,,6102.051341,red,no,red,no,no,green,green,red,no,red,NA,NA
66,30-03-2023 22:19,6098,6100,6098,6099,10,6097.397211,6098.392902,6100.647914,,6102.051341,red,no,red,no,no,green,green,red,no,red,NA,NA
67,30-03-2023 22:20,6101,6101,6098,6098,6,6097.517769,6098.357184,6100.553346,,6102.051341,red,no,red,no,no,green,red,red,no,red,NA,NA
68,30-03-2023 22:21,6098,6108,6097,6106,17,6099.214215,6099.051985,6100.747869,,6090.584076,green,no,red,no,no,green,green,green,no,green,WHEN PRICE CROSSED EMA55 TO GREEN,buy
69,30-03-2023 22:22,6106,6110,6106,6108,17,6100.971372,6099.865441,6101.006874,,6096.075668,green,no,red,no,no,green,green,green,no,green,NA,NA
70,30-03-2023 22:23,6108,6108,6105,6106,12,6101.977098,6100.423128,6101.1852,,6096.075668,green,no,red,no,no,green,green,green,no,green,NA,NA
71,30-03-2023 22:24,6106,6106,6103,6104,9,6102.381678,6100.748299,6101.285729,,6096.075668,green,no,red,no,no,green,green,green,no,green,NA,NA
72,30-03-2023 22:25,6104,6104,6103,6103,10,6102.505343,6100.952999,6101.346953,,6096.075668,green,no,red,no,no,green,green,green,no,green,NA,NA
73,30-03-2023 22:26,6103,6104,6102,6104,6,6102.804274,6101.229999,6101.441704,,6096.075668,green,no,red,no,no,green,green,green,no,green,NA,NA
74,30-03-2023 22:27,6104,6106,6099,6099,18,6102.043419,6101.027272,6101.3545,,6096.075668,green,no,red,no,no,red,red,red,no,green,NA,NA
75,30-03-2023 22:28,6104,6104,6100,6100,4,6101.634735,6100.933883,6101.306125,,6096.075668,green,no,red,no,no,red,red,red,no,green,NA,NA
76,30-03-2023 22:29,6100,6100,6099,6099,13,6101.107788,6100.758076,6101.223764,,6096.075668,green,no,red,no,no,red,red,red,no,green,NA,NA
77,30-03-2023 22:30,6099,6100,6096,6099,17,6100.686231,6100.598251,6101.144344,,6096.075668,green,no,red,no,no,red,red,red,no,green,NA,NA
78,30-03-2023 22:31,6100,6100,6099,6100,5,6100.548985,6100.543864,6101.103474,,6096.075668,green,no,red,no,no,red,red,red,no,green,NA,NA
79,30-03-2023 22:32,6100,6100,6097,6098,10,6100.039188,6100.312604,6100.992636,,6096.075668,red,no,red,no,no,red,red,red,no,green,NA,NA
80,30-03-2023 22:33,6099,6101,6099,6099,6,6099.83135,6100.193276,6100.92147,,6096.075668,red,no,red,no,no,red,red,red,no,green,NA,NA
81,30-03-2023 22:34,6099,6099,6099,6099,2,6099.66508,6100.084797,6100.852846,,6096.075668,red,no,red,no,no,red,red,red,no,green,NA,NA
82,30-03-2023 22:35,6099,6099,6095,6095,8,6098.732064,6099.622542,6100.643816,,6106.176054,red,no,red,no,no,red,red,red,no,red,WHEN SUPERTREND SIGNAL CHANGED TO RED,sell
83,30-03-2023 22:36,6096,6096,6092,6094,13,6097.785651,6099.111402,6100.406537,,6103.458448,red,no,red,no,no,red,red,red,no,red,NA,NA
84,30-03-2023 22:37,6094,6095,6090,6090,11,6096.228521,6098.283093,6100.034875,,6102.512604,red,no,red,no,no,red,red,red,no,red,NA,NA
85,30-03-2023 22:38,6090,6092,6088,6089,14,6094.782817,6097.439175,6099.640772,,6100.211343,red,no,red,no,no,red,red,red,no,red,NA,NA
